"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"df_year_hydro",0.0573122529644269,0.116600790513834,0.199604743083004,0.286561264822134,0.393280632411067,0.494071146245059,0.598814229249012,0.723320158102767,0.863636363636364,1,1.15217391304348,1.3201581027668,1.5395256916996,1.78063241106719,2.05138339920949,2.3102766798419,2.65415019762846,3.09090909090909,3.56719367588933,4.16798418972332,4.70750988142292,5.39525691699605,6.21541501976285,7.22924901185771,8.27865612648221,9.44071146245059,10.7885375494071,12.3162055335968,14.1916996047431,16.4545454545455,19.1719367588933,22.4664031620553,26.3162055335968,30.2134387351779,34.5276679841897
"df_year_total",0.075299740764744,0.151369086195723,0.240157161373947,0.330200907323396,0.425267336357745,0.531837329876863,0.637799740764744,0.75101263771873,0.874918988982502,1,1.14472618276086,1.30557355800389,1.48039533376539,1.65971322099806,1.85247893713545,2.05934057031756,2.2798120544394,2.52069831497084,2.77276409591704,3.05046986390149,3.3427171095269,3.6901328580687,4.07153272845107,4.49740764744005,4.95418826960467,5.43438107582631,5.93689241736876,6.46075016202203,7.02807031756319,7.67627997407647,8.42000162022035,9.25081011017498,10.1104180168503,10.9467352559948,11.800712896954
"df_year_other",0.0756761227359193,0.152096600777438,0.24100570672401,0.331114051774047,0.425936647092879,0.532627574228765,0.638615499131585,0.751592093292532,0.875155074022,1,1.14457034157638,1.30526838144074,1.47915805144322,1.65718302869903,1.8483169299479,2.05408981887354,2.27197915805144,2.50876685137706,2.75614093127119,3.0270862625093,3.3141592920354,3.65445372591184,4.02667273178397,4.4402448101894,4.88462492763212,5.35054999586469,5.83537341824498,6.33822678024977,6.87817384831693,7.49259780001654,8.19502109006699,8.97427838888429,9.77131750889091,10.5435861384501,11.3251592093293
