"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"df_year_hydro",29,30,42,44,54,51,53,63,71,69,77,85,111,122,137,131,174,221,241,304,273,348,415,513,531,588,682,773,949,1145,1375,1667,1948,1972,2183
"df_year_total",1859,1878,2192,2223,2347,2631,2616,2795,3059,3088,3573,3971,4316,4427,4759,5107,5443,5947,6223,6856,7215,8577,9416,10514,11277,11855,12406,12933,14006,16003,18361,20511,21222,20647,21083
"df_year_other",1830,1848,2150,2179,2293,2580,2563,2732,2988,3019,3496,3886,4205,4305,4622,4976,5269,5726,5982,6552,6942,8229,9001,10001,10746,11267,11724,12160,13057,14858,16986,18844,19274,18675,18900
