"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Microbial culturing in AST",1,1,0,0,0,1,1,2,4,1,1,0,3,3,1,7,6,7,8,7,9,10,21,13,12,14,23,24,38,32,47,38,48,75,51
"MICs in AST",0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,3,3,1,3,1,3,5,10,2,4,7,8,9,7,8,8,12,10,10,13
"Isolate indentification in AST",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,3,2,5,2,6,5,4,8,6,4,13,15,14,9
"Chromosomal sequencing in AST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,6,6,16,12,22
