"","Name","hydro_pop_m","Total_hydro","log_ratio_hydro","log_ratio_total"
"1","East Asia & Pacific",2.70802910835963,6382,0.223901470723933,1.48253619685573
"2","Europe & Central Asia",4.02175417130169,3726,0.794483124301086,0.706155262518051
"3","Latin America & Caribbean",1.32289037629689,876,-0.809648260634184,-1.38246963682241
"4","Middle East & North Africa",2.06638775387169,1062,-0.166230776986412,-1.10468864561943
"5","North America",4.89954204696151,1869,1.07930513326059,-0.289205842678428
"6","South Asia",0.752802265343128,1484,-1.6229989011069,-0.621981319802783
"7","Sub-Saharan Africa",0.459782331224971,588,-2.33431884413631,-1.95758435158722
