"","topic_category","country","value","proportion"
"110","aquaculture_health","Indonesia",38,27.536231884058
"111","aquaculture_health","Grenada",0,0
"112","aquaculture_health","Norway",33,30
"113","aquaculture_health","Cote d'Ivoire",0,0
"114","aquaculture_health","Benin",0,0
"115","aquaculture_health","Ecuador",1,5.55555555555556
"116","aquaculture_health","Portugal",16,6.80851063829787
"117","aquaculture_health","Nigeria",15,9.74025974025974
"118","aquaculture_health","Tunisia",15,23.0769230769231
"119","aquaculture_health","Egypt",139,42.5076452599388
"120","aquaculture_health","Zimbabwe",2,28.5714285714286
